palabra,fonemas,n_fonemas,variantes
autobus,a u t o b u s,7,
barco,b a ɾ k o,5,
blanco,b l a n k o,6,n ante k suena [ŋ] (alófono)
bolso,b o l s o,5,
bufanda,b u f a n d a,7,
cara,k a ɾ a,4,
chaqueta,tʃ a k e t a,6,
cielo,θ i e l o,5,seseo (Latam): s i e l o
clase,k l a s e,5,
cristal,k ɾ i s t a l,7,
diente,d i e n t e,6,
espada,e s p a d a,6,
estrella,e s t ɾ e ʎ a,7,yeísmo: e s t ɾ e ʝ a
flecha,f l e tʃ a,5,
fruta,f ɾ u t a,5,
fuego,f u e g o,5,ue puede realizarse [we]: f w e g o
globo,g l o b o,5,
gorro,g o r o,4,rr = vibrante múltiple [r]
jabon,x a b o n,5,
lapiz,l a p i θ,5,seseo (Latam): l a p i s
libro,l i b ɾ o,5,
mosca,m o s k a,5,
negro,n e g ɾ o,5,
niño,n i ɲ o,4,
peine,p e i n e,5,ei diptongo
piedra,p i e d ɾ a,6,
plancha,p l a n tʃ a,6,
rojo,r o x o,4,r- inicial = vibrante múltiple [r]
silla,s i ʎ a,4,yeísmo: s i ʝ a
tambor,t a m b o ɾ,6,
taza,t a θ a,4,seseo (Latam): t a s a
tres,t ɾ e s,4,
