ruta,palabra,hablante,sexo,pais,origen,revisar
data\raw\Base_datos_palabras\Flecha\flecha_alter_h_ven.mp3,flecha,alter,hombre,ven,Latam,
data\raw\Base_datos_palabras\Flecha\flecha_aycarallo_h_esp.mp3,flecha,aycarallo,hombre,esp,España,
data\raw\Base_datos_palabras\Flecha\flecha_pablo2012_h_arg.mp3,flecha,pablo2012,hombre,arg,Latam,
data\raw\Base_datos_palabras\Flecha\flecha_rodneycpht_h_cuba.mp3,flecha,rodneycpht,hombre,cuba,Latam,
data\raw\Base_datos_palabras\Peine\peine_BrujaCarter_m_esp.mp3,peine,brujacarter,mujer,esp,España,
data\raw\Base_datos_palabras\Peine\peine_harTsaRx_h_esp.mp3,peine,hartsarx,hombre,esp,España,
data\raw\Base_datos_palabras\Peine\peine_urso170_h_arg.mp3,peine,urso170,hombre,arg,Latam,
data\raw\Base_datos_palabras\autobus\autobus_emivallr_h_esp.mp3,autobus,emivallr,hombre,esp,España,
data\raw\Base_datos_palabras\barco\barco_Barreraivan27_h_col.mp3,barco,barreraivan27,hombre,col,Latam,
data\raw\Base_datos_palabras\barco\barco_Momislo_h_esp.mp3,barco,momislo,hombre,esp,España,
data\raw\Base_datos_palabras\barco\barco_arvalosp1_h_col.mp3,barco,arvalosp1,hombre,col,Latam,
data\raw\Base_datos_palabras\barco\barco_azdriel_h_esp.mp3,barco,azdriel,hombre,esp,España,
data\raw\Base_datos_palabras\barco\barco_fjglez_h_esp.mp3,barco,fjglez,hombre,esp,España,
data\raw\Base_datos_palabras\barco\barco_jbpablotr_h_col.mp3,barco,jbpablotr,hombre,col,Latam,
data\raw\Base_datos_palabras\blanco\blanco_abstract_h_gua.mp3,blanco,abstract,hombre,gua,Latam,
data\raw\Base_datos_palabras\blanco\blanco_brujacarter_m_esp.mp3,blanco,brujacarter,mujer,esp,España,
data\raw\Base_datos_palabras\blanco\blanco_camilorosa_h_chile.mp3,blanco,camilorosa,hombre,chile,Latam,
data\raw\Base_datos_palabras\blanco\blanco_donquijote_h_mex.mp3,blanco,donquijote,hombre,mex,Latam,
data\raw\Base_datos_palabras\blanco\blanco_enriquemdc23_h_mex.mp3,blanco,enriquemdc23,hombre,mex,Latam,
data\raw\Base_datos_palabras\blanco\blanco_gardenvillage_m_fra.mp3,blanco,gardenvillage,mujer,fra,No nativo,
data\raw\Base_datos_palabras\blanco\blanco_guijaran2_m_esp.mp3,blanco,guijaran2,mujer,esp,España,
data\raw\Base_datos_palabras\blanco\blanco_vayusta_m_esp.mp3,blanco,vayusta,mujer,esp,España,
data\raw\Base_datos_palabras\blanco\blanco_vkal_h_esp.mp3,blanco,vkal,hombre,esp,España,
data\raw\Base_datos_palabras\blanco\blanco_wordfor_m_col.mp3,blanco,wordfor,mujer,col,Latam,
data\raw\Base_datos_palabras\bolso\bolso_camilorosa_h_chile.mp3,bolso,camilorosa,hombre,chile,Latam,
data\raw\Base_datos_palabras\bolso\bolso_mareze_h_arg.mp3,bolso,mareze,hombre,arg,Latam,
data\raw\Base_datos_palabras\bolso\bolso_sperez2418_h_mex.mp3,bolso,sperez2418,hombre,mex,Latam,
data\raw\Base_datos_palabras\bolso\bolso_treintaitantos_h_esp.mp3,bolso,treintaitantos,hombre,esp,España,
data\raw\Base_datos_palabras\bufanda\bufanda_Gorgorito_h_esp.mp3,bufanda,gorgorito,hombre,esp,España,
data\raw\Base_datos_palabras\bufanda\bufanda_alter_h_ven.mp3,bufanda,alter,hombre,ven,Latam,
data\raw\Base_datos_palabras\bufanda\bufanda_borum_h_esp.mp3,bufanda,borum,hombre,esp,España,
data\raw\Base_datos_palabras\bufanda\bufanda_oscarm_h_esp.mp3,bufanda,oscarm,hombre,esp,España,
data\raw\Base_datos_palabras\bufanda\bufanda_pola_m_mex.mp3,bufanda,pola,mujer,mex,Latam,
data\raw\Base_datos_palabras\bufanda\bufanda_wordfor_m_col.mp3,bufanda,wordfor,mujer,col,Latam,
data\raw\Base_datos_palabras\cara\cara_beitter_m_esp.mp3,cara,beitter,mujer,esp,España,
data\raw\Base_datos_palabras\cara\cara_dakes_h_esp.mp3,cara,dakes,hombre,esp,España,
data\raw\Base_datos_palabras\cara\cara_diegoalcara_h_esp.mp3,cara,diegoalcara,hombre,esp,España,
data\raw\Base_datos_palabras\cara\cara_emiliop_h_esp.mp3,cara,emiliop,hombre,esp,España,
data\raw\Base_datos_palabras\cara\cara_luisdamianprimo_h_arg.mp3,cara,luisdamianprimo,hombre,arg,Latam,
data\raw\Base_datos_palabras\cara\cara_orgullomoore_h_eeuu.mp3,cara,orgullomoore,hombre,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\cara\cara_oskerals_h_ven.mp3,cara,oskerals,hombre,ven,Latam,
data\raw\Base_datos_palabras\cara\cara_randomlino_h_peru.mp3,cara,randomlino,hombre,peru,Latam,
data\raw\Base_datos_palabras\cara\cara_victornalab_h_ven.mp3,cara,victornalab,hombre,ven,Latam,
data\raw\Base_datos_palabras\chaqueta\chaqueta_effystonem_m_mex.mp3,chaqueta,effystonem,mujer,mex,Latam,
data\raw\Base_datos_palabras\chaqueta\chaqueta_irs00013_m_esp.mp3,chaqueta,irs00013,mujer,esp,España,
data\raw\Base_datos_palabras\chaqueta\chaqueta_packo38_h_esp.mp3,chaqueta,packo38,hombre,esp,España,
data\raw\Base_datos_palabras\chaqueta\chaqueta_pleitecas_h_esp.mp3,chaqueta,pleitecas,hombre,esp,España,
data\raw\Base_datos_palabras\chaqueta\chaqueta_urso170_h_arg.mp3,chaqueta,urso170,hombre,arg,Latam,
data\raw\Base_datos_palabras\chaqueta\chaqueta_wordfor_m_col.mp3,chaqueta,wordfor,mujer,col,Latam,
data\raw\Base_datos_palabras\cielo\cielo_Aradia_m_arg.mp3,cielo,aradia,mujer,arg,Latam,
data\raw\Base_datos_palabras\cielo\cielo_Orphneus_h_arg.mp3,cielo,orphneus,hombre,arg,Latam,
data\raw\Base_datos_palabras\cielo\cielo_alter_h_ven.mp3,cielo,alter,hombre,ven,Latam,
data\raw\Base_datos_palabras\cielo\cielo_beitter_m_esp.mp3,cielo,beitter,mujer,esp,España,
data\raw\Base_datos_palabras\cielo\cielo_bilks_h_esp.mp3,cielo,bilks,hombre,esp,España,
data\raw\Base_datos_palabras\cielo\cielo_camilorosa_h_chile.mp3,cielo,camilorosa,hombre,chile,Latam,
data\raw\Base_datos_palabras\cielo\cielo_enriquemdc23_h_mex.mp3,cielo,enriquemdc23,hombre,mex,Latam,
data\raw\Base_datos_palabras\cielo\cielo_estexu_h_esp.mp3,cielo,estexu,hombre,esp,España,
data\raw\Base_datos_palabras\cielo\cielo_gustav73_h_peru.mp3,cielo,gustav73,hombre,peru,Latam,
data\raw\Base_datos_palabras\cielo\cielo_msalas_h_eeuu.mp3,cielo,msalas,hombre,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\cielo\cielo_reality3d_h_esp.mp3,cielo,reality3d,hombre,esp,España,
data\raw\Base_datos_palabras\clase\clase_brujacarter_m_esp.mp3,clase,brujacarter,mujer,esp,España,
data\raw\Base_datos_palabras\clase\clase_dubheed_h_esp.mp3,clase,dubheed,hombre,esp,España,
data\raw\Base_datos_palabras\clase\clase_juansebastiancristal_h_arg.mp3,clase,juansebastiancristal,hombre,arg,Latam,
data\raw\Base_datos_palabras\clase\clase_malvarez_h_esp.mp3,clase,malvarez,hombre,esp,España,
data\raw\Base_datos_palabras\cristal\cristal_alter_h_ven.mp3,cristal,alter,hombre,ven,Latam,
data\raw\Base_datos_palabras\cristal\cristal_grughos_h_esp.mp3,cristal,grughos,hombre,esp,España,
data\raw\Base_datos_palabras\cristal\cristal_mayorcatorce_h_esp.mp3,cristal,mayorcatorce,hombre,esp,España,
data\raw\Base_datos_palabras\cristal\cristal_mnati75_m_arg.mp3,cristal,mnati75,mujer,arg,Latam,
data\raw\Base_datos_palabras\cristal\cristal_yelkoastur_h_esp.mp3,cristal,yelkoastur,hombre,esp,España,
data\raw\Base_datos_palabras\diente\diente_dakes_h_esp.mp3,diente,dakes,hombre,esp,España,
data\raw\Base_datos_palabras\diente\diente_diegolacra_h_esp.mp3,diente,diegolacra,hombre,esp,España,
data\raw\Base_datos_palabras\diente\diente_gorgorito_h_esp.mp3,diente,gorgorito,hombre,esp,España,
data\raw\Base_datos_palabras\diente\diente_momislo_h_esp.mp3,diente,momislo,hombre,esp,España,
data\raw\Base_datos_palabras\diente\diente_urso170_h_arg.mp3,diente,urso170,hombre,arg,Latam,
data\raw\Base_datos_palabras\diente\diente_wordfor_m_col.mp3,diente,wordfor,mujer,col,Latam,
data\raw\Base_datos_palabras\espada\espada_bienhablado_h_col.mp3,espada,bienhablado,hombre,col,Latam,
data\raw\Base_datos_palabras\espada\espada_donquijote_h_mex.mp3,espada,donquijote,hombre,mex,Latam,
data\raw\Base_datos_palabras\espada\espada_fpinto_h_chile.mp3,espada,fpinto,hombre,chile,Latam,
data\raw\Base_datos_palabras\espada\espada_juanpirincho_h_esp.mp3,espada,juanpirincho,hombre,esp,España,
data\raw\Base_datos_palabras\espada\espada_steve04_h_col.mp3,espada,steve04,hombre,col,Latam,
data\raw\Base_datos_palabras\espada\espdad_alonsodeercilla_h_chile.mp3,espada,alonsodeercilla,hombre,chile,Latam,
data\raw\Base_datos_palabras\estrella\estrella_LBarcelones_m_esp.mp3,estrella,lbarcelones,mujer,esp,España,
data\raw\Base_datos_palabras\estrella\estrella_LeonSand_h_col.mp3,estrella,leonsand,hombre,col,Latam,
data\raw\Base_datos_palabras\estrella\estrella_Orphneus_h_arg.mp3,estrella,orphneus,hombre,arg,Latam,
data\raw\Base_datos_palabras\estrella\estrella_SebastianPerilla_h_col.mp3,estrella,sebastianperilla,hombre,col,Latam,
data\raw\Base_datos_palabras\estrella\estrella_Seilaregia_h_mex.mp3,estrella,seilaregia,hombre,mex,Latam,
data\raw\Base_datos_palabras\estrella\estrella_alan9_h_arg.mp3,estrella,alan9,hombre,arg,Latam,
data\raw\Base_datos_palabras\estrella\estrella_art26py_h_Para.mp3,estrella,art26py,hombre,para,Latam,
data\raw\Base_datos_palabras\estrella\estrella_azdriel_h_mex.mp3,estrella,azdriel,hombre,mex,Latam,
data\raw\Base_datos_palabras\estrella\estrella_bellabanks_m_esp.mp3,estrella,bellabanks,mujer,esp,España,
data\raw\Base_datos_palabras\estrella\estrella_bliks_h_esp.mp3,estrella,bliks,hombre,esp,España,
data\raw\Base_datos_palabras\estrella\estrella_camilorosa_h_chile.mp3,estrella,camilorosa,hombre,chile,Latam,
data\raw\Base_datos_palabras\estrella\estrella_cnquinteros90_m_chile.mp3,estrella,cnquinteros90,mujer,chile,Latam,
data\raw\Base_datos_palabras\estrella\estrella_enriquemdc23_h_mex.mp3,estrella,enriquemdc23,hombre,mex,Latam,
data\raw\Base_datos_palabras\estrella\estrella_er9834I_h_esp.mp3,estrella,er9834i,hombre,esp,España,
data\raw\Base_datos_palabras\estrella\estrella_tenpao_h_esp.mp3,estrella,tenpao,hombre,esp,España,
data\raw\Base_datos_palabras\estrella\estrella_wordfor_m_col.mp3,estrella,wordfor,mujer,col,Latam,
data\raw\Base_datos_palabras\fruta\fruta_alina_m_arg.mp3,fruta,alina,mujer,arg,Latam,
data\raw\Base_datos_palabras\fruta\fruta_angeltellez13_h_cuba.mp3,fruta,angeltellez13,hombre,cuba,Latam,
data\raw\Base_datos_palabras\fruta\fruta_covarrubias_h_esp.mp3,fruta,covarrubias,hombre,esp,España,
data\raw\Base_datos_palabras\fruta\fruta_ignasiperez_h_esp.mp3,fruta,ignasiperez,hombre,esp,España,
data\raw\Base_datos_palabras\fruta\fruta_joseangel_h_esp.mp3,fruta,joseangel,hombre,esp,España,
data\raw\Base_datos_palabras\fruta\fruta_jperez_h_esp.mp3,fruta,jperez,hombre,esp,España,
data\raw\Base_datos_palabras\fruta\fruta_pablo2012_h_arg.mp3,fruta,pablo2012,hombre,arg,Latam,
data\raw\Base_datos_palabras\fuego\fuego_DonQuijote_h_mex.mp3,fuego,donquijote,hombre,mex,Latam,
data\raw\Base_datos_palabras\fuego\fuego_alter_h_ven.mp3,fuego,alter,hombre,ven,Latam,
data\raw\Base_datos_palabras\fuego\fuego_beitter_m_esp.mp3,fuego,beitter,mujer,esp,España,
data\raw\Base_datos_palabras\fuego\fuego_camilorosa_h_chile.mp3,fuego,camilorosa,hombre,chile,Latam,
data\raw\Base_datos_palabras\fuego\fuego_estexu_h_esp.mp3,fuego,estexu,hombre,esp,España,
data\raw\Base_datos_palabras\fuego\fuego_mindcontrololo_h_mex.mp3,fuego,mindcontrololo,hombre,mex,Latam,
data\raw\Base_datos_palabras\fuego\fuego_yelkoastur_h_esp.mp3,fuego,yelkoastur,hombre,esp,España,
data\raw\Base_datos_palabras\globo\globo_RRR04_m_peru.mp3,globo,rrr04,mujer,peru,Latam,
data\raw\Base_datos_palabras\globo\globo_brujacarter_m_esp.mp3,globo,brujacarter,mujer,esp,España,
data\raw\Base_datos_palabras\globo\globo_irs00013_m_esp.mp3,globo,irs00013,mujer,esp,España,
data\raw\Base_datos_palabras\globo\globo_juanpirincho_h_esp.mp3,globo,juanpirincho,hombre,esp,España,
data\raw\Base_datos_palabras\globo\globo_vkal_h_esp.mp3,globo,vkal,hombre,esp,España,
data\raw\Base_datos_palabras\gorro\gorro_Pablo2012_h_arg.mp3,gorro,pablo2012,hombre,arg,Latam,
data\raw\Base_datos_palabras\gorro\gorro_camilorosa_h_chile.mp3,gorro,camilorosa,hombre,chile,Latam,
data\raw\Base_datos_palabras\gorro\gorro_eljose_h_peru.mp3,gorro,eljose,hombre,peru,Latam,
data\raw\Base_datos_palabras\gorro\gorro_guillermo_h_esp.mp3,gorro,guillermo,hombre,esp,España,
data\raw\Base_datos_palabras\jabon\jabon_JaimeDes_h_mex.mp3,jabon,jaimedes,hombre,mex,Latam,
data\raw\Base_datos_palabras\jabon\jabon_Shaditor_m_arg.mp3,jabon,shaditor,mujer,arg,Latam,
data\raw\Base_datos_palabras\jabon\jabon_alter_h_ven.mp3,jabon,alter,hombre,ven,Latam,
data\raw\Base_datos_palabras\jabon\jabon_ignasiBCN_h_esp.mp3,jabon,ignasibcn,hombre,esp,España,
data\raw\Base_datos_palabras\jabon\jabon_pleitecas_h_esp.mp3,jabon,pleitecas,hombre,esp,España,
data\raw\Base_datos_palabras\lapiz\lapiz_Astridyvc_m_ven.mp3,lapiz,astridyvc,mujer,ven,Latam,
data\raw\Base_datos_palabras\lapiz\lapiz_BrujaCarter_m_esp.mp3,lapiz,brujacarter,mujer,esp,España,
data\raw\Base_datos_palabras\lapiz\lapiz_cisne_h_bol.mp3,lapiz,cisne,hombre,bol,Latam,
data\raw\Base_datos_palabras\lapiz\lapiz_estexu_h_esp.mp3,lapiz,estexu,hombre,esp,España,
data\raw\Base_datos_palabras\lapiz\lapiz_illinoi_h_eeuu.mp3,lapiz,illinoi,hombre,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\lapiz\lapiz_pleitecas_h_esp.mp3,lapiz,pleitecas,hombre,esp,España,
data\raw\Base_datos_palabras\libro\libro_Dakes_h_esp.mp3,libro,dakes,hombre,esp,España,
data\raw\Base_datos_palabras\libro\libro_DonQuijote_h_Mex.mp3,libro,donquijote,hombre,mex,Latam,
data\raw\Base_datos_palabras\libro\libro_camilorosa_h_chile.mp3,libro,camilorosa,hombre,chile,Latam,
data\raw\Base_datos_palabras\libro\libro_estexu_h_esp.mp3,libro,estexu,hombre,esp,España,
data\raw\Base_datos_palabras\libro\libro_loquim_h_arg.mp3,libro,loquim,hombre,arg,Latam,
data\raw\Base_datos_palabras\libro\libro_mith_h_esp.mp3,libro,mith,hombre,esp,España,
data\raw\Base_datos_palabras\libro\libro_tenpao_h_esp.mp3,libro,tenpao,hombre,esp,España,
data\raw\Base_datos_palabras\libro\libro_yelkoastur_h_esp.mp3,libro,yelkoastur,hombre,esp,España,
data\raw\Base_datos_palabras\mosca\mosca_alter_h_ven.mp3,mosca,alter,hombre,ven,Latam,
data\raw\Base_datos_palabras\mosca\mosca_brujacarter_m_esp.mp3,mosca,brujacarter,mujer,esp,España,
data\raw\Base_datos_palabras\mosca\mosca_camilorosa_chile_h.mp3,mosca,camilorosa,hombre,chile,Latam,
data\raw\Base_datos_palabras\mosca\mosca_diggeridoo_h_esp.mp3,mosca,diggeridoo,hombre,esp,España,
data\raw\Base_datos_palabras\mosca\mosca_febela_m_arg.mp3,mosca,febela,mujer,arg,Latam,
data\raw\Base_datos_palabras\mosca\mosca_ignasiperez_h_esp.mp3,mosca,ignasiperez,hombre,esp,España,
data\raw\Base_datos_palabras\mosca\mosca_leooslos_h_arg.mp3,mosca,leooslos,hombre,arg,Latam,
data\raw\Base_datos_palabras\mosca\mosca_mayorcatorce_h_esp.mp3,mosca,mayorcatorce,hombre,esp,España,
data\raw\Base_datos_palabras\mosca\mosca_miniwini_m_esp.mp3,mosca,miniwini,mujer,esp,España,
data\raw\Base_datos_palabras\mosca\mosca_silvina_m_arg.mp3,mosca,silvina,mujer,arg,Latam,
data\raw\Base_datos_palabras\negro\negro_brujacarter_m_esp.mp3,negro,brujacarter,mujer,esp,España,
data\raw\Base_datos_palabras\negro\negro_bydopu_h_fra.mp3,negro,bydopu,hombre,fra,No nativo,
data\raw\Base_datos_palabras\negro\negro_ignasibcn_h_esp.mp3,negro,ignasibcn,hombre,esp,España,
data\raw\Base_datos_palabras\negro\negro_nodoubt9203_h_eeuu.mp3,negro,nodoubt9203,hombre,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\negro\negro_odin35_h_mex.mp3,negro,odin35,hombre,mex,Latam,
data\raw\Base_datos_palabras\negro\negro_teknad_h_esp.mp3,negro,teknad,hombre,esp,España,
data\raw\Base_datos_palabras\negro\negro_victorino_h_col.mp3,negro,victorino,hombre,col,Latam,
data\raw\Base_datos_palabras\niño\niño_cancion35127_h_eeuu.mp3,niño,cancion35127,hombre,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\niño\niño_cteve04_h_col.mp3,niño,cteve04,hombre,col,Latam,
data\raw\Base_datos_palabras\niño\niño_fjglez_h_esp.mp3,niño,fjglez,hombre,esp,España,
data\raw\Base_datos_palabras\niño\niño_laurasanchez22_m_esp.mp3,niño,laurasanchez22,mujer,esp,España,
data\raw\Base_datos_palabras\niño\niño_mith_h_esp.mp3,niño,mith,hombre,esp,España,
data\raw\Base_datos_palabras\niño\niño_momislo_h_esp.mp3,niño,momislo,hombre,esp,España,
data\raw\Base_datos_palabras\niño\niño_pablo2012_h_arg.mp3,niño,pablo2012,hombre,arg,Latam,
data\raw\Base_datos_palabras\niño\niño_tica_m_CR.mp3,niño,tica,mujer,cr,Latam,
data\raw\Base_datos_palabras\niño\niño_wichopv_h_mex.mp3,niño,wichopv,hombre,mex,Latam,
data\raw\Base_datos_palabras\piedra\piedra_bmhawk_m_eeuu.mp3,piedra,bmhawk,mujer,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\piedra\piedra_brujacarter_m_esp.mp3,piedra,brujacarter,mujer,esp,España,
data\raw\Base_datos_palabras\piedra\piedra_camilorosa_h_chile.mp3,piedra,camilorosa,hombre,chile,Latam,
data\raw\Base_datos_palabras\piedra\piedra_cata_m_eeuu.mp3,piedra,cata,mujer,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\piedra\piedra_javier_h_esp.mp3,piedra,javier,hombre,esp,España,
